3V3:1
BOOT1:1
C1:1
C11:1
C12:1
C13:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
D1:1
D2:1
D3:1
EXTRA:1
G***:1
GND:1
J1:1
J10:1
J11:1
J12:1
J2:1
J3:1
J4:1
J5:1
J6:1
J8:1
M+:1
R1:1
R3:1
R4:1
R5:1
R6:1
R7:1
RESET1:1
T2:1
U1:1
U2:1
U3:1
U4:1
